Gender,Age,Academic Stream,Educational Qualification ,Marital Status,Locality,Occupation,Annual Income,"Have you ever experienced any mental health issue?(even if you faced for a short period, tick yes)","In your life, which element has affected your mental health?", [Feeling sad most of the time], [Experienced low self-esteem], [You are willing to do the activities you usually enjoy], [Significant difficulty to fall asleep], [Problems with your work or daily life due to your physical health], [Feeling of giving up], [Relations with others affect your mental health], [Feeling anxious or discomfort around others], [Social media affect your mental health], [Your eating habits were altered in any way],How much time do you spend on social media?,Do you consume any sort of alcohol or smoke?,Tick the major life event which has affected your mental health.,Which of the following mental health disorders do you have or have experienced in the past?,What measures did you take to improve your mental health?,Felt improvement in your mental health after the measures you took.,"Do you have any counsellors in your school, college or surrounding?",Your personal opinion on Mental Health.
Male,18,Computer Science,First Year,,Badlapur,Student,5 and above,,Social,Extremely,A lot,Never,Never,A little,A lot,Strongly agree,Strongly agree,Agree,Neutral,5hours,No,Financial worries,Depression,Played chess,Maybe,No,
Male,20,Commerce,Second Year,,Mumbai city,Employed,Below 1 lakh,,Emotional,Never,Never,Never,Never,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never did a math about that,No,None of the above,Depression,Talk about your feelings,Yes,No,"It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make healthy choices."
Male,20,Mass Media,Third Year,,Mumbai Suburban,Student,5 and above,,Social,Moderately,Moderately,Moderately,Moderately,Moderately,Never,Agree,Strongly agree,Strongly agree,Strongly agree,5-6 hours,Yes,None of the above,Anxiety disorders,Tried going out for nature campaigns,Yes,No,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Navi Mumbai,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Navi Mumbai,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Emotional,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Disagree,Neutral,Disagree,Neutral,Half of day,No,"Forced separation from family members, Financial worries","Depression, Anxiety disorders, Eating disorders","Talk about your feelings, Take a break from daily routine",Maybe,No,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Emotional,Moderately,Moderately,Never,A little,Moderately,Moderately,Agree,Agree,Disagree,Disagree,4 hours,Yes,Breakup ,"Depression, Anxiety disorders","Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Maybe,No,
Female,26,Science,Post Graduation,Married,Navi Mumbai,Employed,3-5 lakhs,Yes,"Emotional, Major life event",A lot,A lot,Never,Never,Moderately,A lot,Agree,Neutral,Neutral,Agree,1-2 hours in a day,No,"Death of family member or friend, Financial worries",Depression,"Meditation, Talk about your feelings, Take a break from daily routine",No,Yes,
Female,26,Science,Post Graduation,Married,Navi Mumbai,Employed,3-5 lakhs,Yes,"Emotional, Major life event",A lot,A lot,Never,Never,Moderately,A lot,Agree,Neutral,Neutral,Agree,1-2 hours in a day,No,"Death of family member or friend, Financial worries",Depression,"Meditation, Talk about your feelings, Take a break from daily routine",No,Yes,
Male,21,Engineering,Diploma,Unmarried,Mumbai Suburban,Student,10 and above,Yes,Emotional,A lot,A lot,Extremely,Moderately,Moderately,Extremely,Neutral,Neutral,Agree,Agree,1 hour ,Yes,Relationship ,"Depression, Anxiety disorders, Alcohol use disorder","Talk about your feelings, Take a break from daily routine",Yes,Yes,Keeping calm and taking decisions
Female,20,Science,Graduation,Unmarried,Navi Mumbai,Student,8-10 lakhs,Yes,Emotional,Moderately,A lot,A little,A lot,A little,A little,Neutral,Agree,Agree,Disagree,1-2 hours ,No,None of the above,Anxiety disorders,Meditation,Maybe,No,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Social",Moderately,A lot,A lot,Never,Never,A little,Agree,Neutral,Neutral,Neutral,4-6 hours,Yes,None of the above,Anxiety disorders,Take a break from daily routine,Maybe,No,It is a very crucial part of our lives which is ignored by most of us. We should talk more about mental health and help people who are suffering.
Female,21,Science,Graduation,Unmarried,Navi Mumbai,Student,3-5 lakhs,Yes,Social,A little,A little,A little,Never,Moderately,A little,Agree,Agree,Agree,Neutral,2-3 hours,No,Financial worries,Anxiety disorders,"Meditation, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,
Female,20,Science,Graduation,Unmarried,Thane,Student,5-8 lakhs,Yes,"Emotional, Social",A lot,Moderately,A lot,Moderately,A little,A lot,Neutral,Agree,Neutral,Neutral,Approx 1 hour daily,No,None of the above,Anxiety disorders,"Talk about your feelings, Take a break from daily routine",Maybe,Yes,
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Kalyan,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai Suburban,Student,8-10 lakhs,Yes,"Emotional, Social, Major life event",Never,A little,Extremely,Moderately,Never,Never,Agree,Neutral,Agree,Disagree,3 to 4 hours,No,None of the above,Depression,"Meditation, Yoga, Talk about your feelings, Take a break from daily routine",Yes,Yes,
Male,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,Moderately,Moderately,A lot,A little,Never,A lot,Agree,Neutral,Disagree,Neutral,5 to 6 hr,No,None of the above,Depression,"Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,Yes,
Female,21,BMM,Graduation,Unmarried,Mumbai city,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,24,Science,Graduation,Unmarried,Gwalior,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,18,Science,HSC (12th std),Unmarried,Pune,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
